campaign_id,name,brand,year,award_show,award_category,industry,extraction_timestamp,award_prestige_score,award_status_binary,award_potential_score,award_hierarchy_level,time_since_award_years,csr_presence_binary,csr_category,csr_message_prominence,csr_authenticity_score,purpose_driven_score,visual_complexity_score,edge_density,spatial_frequency,color_palette_diversity,dominant_color_hue,face_presence_binary,brand_asset_visibility,logo_size_ratio,aesthetic_score,memorability_score,distinctiveness_score,message_sentiment,message_urgency,emotional_tone_score,message_clarity,readability_score,cta_presence,headline_strength,value_proposition_clarity,emotional_words_count,innovation_level,technology_integration,creative_distinctiveness,execution_quality,originality_score,cultural_relevance_score,cultural_authenticity,localization_depth,cultural_symbol_count,trend_alignment,zeitgeist_relevance,campaign_duration_days,budget_allocated,channel_mix_diversity,targeting_precision,message_consistency,strategic_clarity,competitive_pressure,market_saturation,creative_effectiveness_score,roi_multiplier,brand_lift_percentage,engagement_rate,purchase_intent_lift,binary_success,has_gdrive_assets,gdrive_folder_id,source,data_completeness,country,region,agency,sales_lift_percentage,market_share_gain,has_humor,has_emotion,creative_concept,primary_channel,channel_diversity,channel_mix,has_tech_innovation,technology_type,total_awards,has_warc_award,has_cannes_award,warc_case_id,warc_file_id
WARC_KFC_2024,Michelin Impossible,KFC,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_009,135898_KFC_Michelin_Impossibl.pdf
WARC_DB_Export_2024,I'm Drinking It For You,DB Export,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_010,135897_DB_Export_Im_Drinking_It_For_Yo.pdf
WARC_Nike_2024,Crazy Dreams,Nike,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_011,143434_Nike_Crazy_Dream.pdf
WARC_Microsoft_2024,Adlam – An alphabet to preserve a culture,Microsoft,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_012,154838_Microsoft_Adlam_An_alphabet_to.pdf
WARC_Every_Kiwi_Vote_Counts_2024,Meddle in the New Zealand Election,Every Kiwi Vote Counts,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_013,143436_Every_Kiwi_Vote_Counts_Meddle_in.pdf
WARC_Heinz_2024,It Has To Be Heinz,Heinz,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_014,159475_Heinz_It_Has_To_Be_Hein.pdf
WARC_McDonald's_2024,Famous Orders,McDonald's,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_015,154953_McDonalds_Famous_Order.pdf
WARC_Partners_Life_2024,Last Performance,Partners Life,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_016,154954_Partners_Life_Last_Performanc.pdf
WARC_Whisper_2024,Keep Girls In School,Whisper,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_017,154955_Whisper_Keep_Girls_In_Schoo.pdf
WARC_AHR_Valley_Wine_Region_2024,#Flutwein - Our Worst Vintage,AHR Valley Wine Region,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_018,154956_AHR_Valley_Wine_Region_Flutwein_.pdf
WARC_Dove_2024,The Cost of Beauty,Dove,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_019,159468_Dove_The_Cost_of_Beaut.pdf
WARC_Mayor_of_London_2024,Breaking the Silence,Mayor of London,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_020,159470_Mayor_of_London_Breaking_the_Sil.pdf
WARC_Football_Australia_2024,Til It's Done,Football Australia,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_021,159471_Football_Australia_Til_Its_Don.pdf
WARC_Burger_King_2024,Moldy Whopper,Burger King,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_022,143437_Burger_King_Moldy_Whoppe.pdf
WARC_Michelob_Ultra_2024,Contract for Change,Michelob Ultra,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_023,149662_Michelob_Ultra_Contract_for_Chan.pdf
WARC_Cheetos_2024,Can't Touch This,Cheetos,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_024,140162_Cheetos_Cant_Touch_Thi.pdf
WARC_Cadbury_Celebrations_2024,Shah Rukh Khan-My-Ad (2024 Version),Cadbury Celebrations,2024,,,Unknown,,,1,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,WARC,full_case_study,Unknown,Unknown,Unknown,,,0.0,1.0,Unknown,Unknown,0.0,,0.0,None,0.0,1.0,0.0,warc_025,154952_Cadbury_Shah_Rukh_KhanMyA_v2.pdf
